id,title,detected_microskills,detected_categories,detected_evidence,detected_microskills_count
1742323,Full Stack Developer,[],[],{},0
1742787,Software Engineer (.NET & Angular),[],[],{},0
1742855,"Senior Associate, Software Engineer","[""Σαφής και συνοπτική επικοινωνία"", ""Σύνταξη επαγγελματικών email"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Επαγγελματική Επικοινωνία"", ""Ψηφιακή Παραγωγικότητα και ΤΝ"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 6, ""keywords"": [""oral written communication"", ""written communication""], ""semantic_groups"": [""communication + client"", ""communication + customer""]}, ""Σύνταξη επαγγελματικών email"": {""score"": 2, ""keywords"": [""written communication""], ""semantic_groups"": []}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""document + management""]}}",3
1765796,.NET Developer,"[""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",1
1766232,Developer,[],[],{},0
1766909,"Senior Backend Software Developer (Contractor, 1-year term)",[],[],{},0
1766977,Java Spring - Full Time - Full REMOTE Developer,[],[],{},0
1783063,Principal Architect – Java & Cloud Migration,"[""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Επαγγελματική Επικοινωνία"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 2, ""keywords"": [""excellent communication""], ""semantic_groups"": []}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""document + management""]}}",3
1783242,Angular Front-End Software Engineer,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [], ""semantic_groups"": [""communication + client"", ""communication + customer"", ""communication + stakeholder""]}}",1
1800033,Senior Back-End Web Developer,[],[],{},0
1800725,Senior C# .NET Developer,"[""Σαφής και συνοπτική επικοινωνία"", ""Αυτοματοποίηση επαναλαμβανόμενων εργασιών""]","[""Επαγγελματική Επικοινωνία"", ""Ψηφιακή Παραγωγικότητα και ΤΝ""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + client""]}, ""Αυτοματοποίηση επαναλαμβανόμενων εργασιών"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""automate + process""]}}",2
11,Accounting Assistant,[],[],{},0
27,ASSISTANT ACCOUNTANT,"[""Διαχείριση χρόνου""]","[""Προσωπική Διαχείριση""]","{""Διαχείριση χρόνου"": {""score"": 3, ""keywords"": [""meet deadlin""], ""semantic_groups"": [""meet + deadlin""]}}",1
38,E-Shop Assistant - PAIANIA,"[""Οργάνωση ψηφιακού χώρου εργασίας"", ""Σαφής και συνοπτική επικοινωνία""]","[""Διαχείριση Δεδομένων και Πληροφορίας"", ""Επαγγελματική Επικοινωνία""]","{""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 3, ""keywords"": [""data entry""], ""semantic_groups"": [""data + entry""]}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + customer""]}}",2
56,Assistant Accountant for a Paper Trading and Processing Company.,"[""Διαχείριση χρόνου""]","[""Προσωπική Διαχείριση""]","{""Διαχείριση χρόνου"": {""score"": 6, ""keywords"": [""time management"", ""meet deadlin""], ""semantic_groups"": [""meet + deadlin"", ""prioritize + task""]}}",1
90,Office Clerk,"[""Σαφής και συνοπτική επικοινωνία"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Επαγγελματική Επικοινωνία"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + client""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""document + management""]}}",2
93,ASSISTANT ACCOUNTANT,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + customer""]}}",1
101,STORE ASSISTANT - Brooks Brothers,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + customer""]}}",1
136,Treasury Assistant,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 2, ""keywords"": [""excellent communication""], ""semantic_groups"": []}}",1
153,HR ASSISTANT,"[""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""document + management""]}}",1
155,PAYROLL ASSISTANT,"[""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""document + management"", ""record + keep""]}}",1
176,Assistant Driver,[],[],{},0
190,INSTALLER-TECHNICIAN OF SECURITY SYSTEMS,[],[],{},0
191,ASSISTANT ACCOUNTANT,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + customer""]}}",1
192,ASSISTANT ACCOUNTANT,"[""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""document + management""]}}",1
254,COOK - ASSISTANT COOK,[],[],{},0
278,Assistant Waiter for Domes Zeen Chania.,[],[],{},0
280,Βοηθός-Τεχνικός Αντιμετώπισης Έκτακτης Ανάγκης,"[""Σαφής και συνοπτική επικοινωνία"", ""Σύνταξη επαγγελματικών email"", ""Ενεργητική ακρόαση"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Επαγγελματική Επικοινωνία"", ""Ψηφιακή Παραγωγικότητα και ΤΝ"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 4, ""keywords"": [""oral written communication"", ""written communication""], ""semantic_groups"": []}, ""Σύνταξη επαγγελματικών email"": {""score"": 2, ""keywords"": [""written communication""], ""semantic_groups"": []}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""identify + need""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""record + keep""]}}",4
281,Baker - baker's assistant wanted,[],[],{},0
293,RESERVATION ASSISTANT,"[""Σαφής και συνοπτική επικοινωνία"", ""Σύνταξη επαγγελματικών email""]","[""Επαγγελματική Επικοινωνία"", ""Ψηφιακή Παραγωγικότητα και ΤΝ""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 4, ""keywords"": [""oral written communication"", ""written communication""], ""semantic_groups"": []}, ""Σύνταξη επαγγελματικών email"": {""score"": 2, ""keywords"": [""written communication""], ""semantic_groups"": []}}",2
314,Financial Accounting Advisory Assistant Manager/Manager,"[""Σαφής και συνοπτική επικοινωνία"", ""Οργάνωση ψηφιακού χώρου εργασίας"", ""Διαχείριση χρόνου"", ""Διαχείριση προσοχής και συγκέντρωσης""]","[""Επαγγελματική Επικοινωνία"", ""Διαχείριση Δεδομένων και Πληροφορίας"", ""Προσωπική Διαχείριση""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 5, ""keywords"": [""written verbal communication"", ""verbal communication""], ""semantic_groups"": [""communication + client""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""data + entry""]}, ""Διαχείριση χρόνου"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""prioritize + task""]}, ""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""data + accuracy""]}}",4
337,Assistant Operator - Operator Clark,"[""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""document + management""]}}",1
345,ASSISTANT ACCOUNTANT,"[""Σαφής και συνοπτική επικοινωνία"", ""Σύνταξη επαγγελματικών email"", ""Διαχείριση χρόνου"", ""Διαχείριση προσοχής και συγκέντρωσης""]","[""Επαγγελματική Επικοινωνία"", ""Ψηφιακή Παραγωγικότητα και ΤΝ"", ""Προσωπική Διαχείριση""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 4, ""keywords"": [""oral written communication"", ""written communication""], ""semantic_groups"": []}, ""Σύνταξη επαγγελματικών email"": {""score"": 2, ""keywords"": [""written communication""], ""semantic_groups"": []}, ""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""time management""], ""semantic_groups"": []}, ""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 2, ""keywords"": [""detail orient""], ""semantic_groups"": []}}",4
354,Βοηθός Λογιστή - Υπεύθυνος Τιμολόγησης,"[""Διαχείριση χρόνου""]","[""Προσωπική Διαχείριση""]","{""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""διαχείριση χρόν""], ""semantic_groups"": []}}",1
357,LOOKING FOR PERSONNEL FOR ACCOUNTANT / OFFICE CLERK POSITION IN SUBSIDY PROGRAMS DEPARTMENT,[],[],{},0
358,Sales assistant Mango Flamingo Xanthi,"[""Διαχείριση χρόνου"", ""Σαφής και συνοπτική επικοινωνία""]","[""Προσωπική Διαχείριση"", ""Επαγγελματική Επικοινωνία""]","{""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""time management""], ""semantic_groups"": []}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + customer""]}}",2
368,ACCOUNTING ASSISTANT,"[""Σαφής και συνοπτική επικοινωνία"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Επαγγελματική Επικοινωνία"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + customer""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""document + management""]}}",2
1072,Backend Developer,"[""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""maintain + database""]}}",1
1115,Senior Oracle ADF Developer,"[""Σαφής και συνοπτική επικοινωνία"", ""Διαχείριση χρόνου"", ""Οργάνωση ψηφιακού χώρου εργασίας"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία"", ""Προσωπική Διαχείριση"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + stakeholder""]}, ""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""fast pac environment""], ""semantic_groups"": []}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""record + keep"", ""maintain + database""]}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",4
1858,Software Engineer (Java),"[""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",1
2154,Senior Node.js Developer,"[""Διαχείριση χρόνου""]","[""Προσωπική Διαχείριση""]","{""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""time management""], ""semantic_groups"": []}}",1
2155,Senior PHP Developer,"[""Διαχείριση χρόνου""]","[""Προσωπική Διαχείριση""]","{""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""time management""], ""semantic_groups"": []}}",1
2715,"Manager, AI and Data Science Frontend Engineer","[""Διαχείριση χρόνου"", ""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση""]","[""Προσωπική Διαχείριση"", ""Επαγγελματική Επικοινωνία""]","{""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""fast pac environment""], ""semantic_groups"": []}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + customer""]}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",3
4385,Python Backend Developer,"[""Σαφής και συνοπτική επικοινωνία"", ""Αυτοματοποίηση επαναλαμβανόμενων εργασιών"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Επαγγελματική Επικοινωνία"", ""Ψηφιακή Παραγωγικότητα και ΤΝ"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + client""]}, ""Αυτοματοποίηση επαναλαμβανόμενων εργασιών"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""automate + process""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""maintain + database""]}}",3
4645,"PHP Microservices Engineer (x/f/m), Remote","[""Διαχείριση χρόνου""]","[""Προσωπική Διαχείριση""]","{""Διαχείριση χρόνου"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""prioritize + task""]}}",1
43082,Senior Backend Engineer,"[""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""maintain + database""]}}",1
54000,GIS Developer,"[""Διαχείριση χρόνου"", ""Σαφής και συνοπτική επικοινωνία"", ""Διαχείριση προσοχής και συγκέντρωσης"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Προσωπική Διαχείριση"", ""Επαγγελματική Επικοινωνία"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Διαχείριση χρόνου"": {""score"": 5, ""keywords"": [""fast pac environment"", ""meet deadlin""], ""semantic_groups"": [""meet + deadlin""]}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + client""]}, ""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""maintain + database""]}}",4
61839,Senior Backend Developer (Node.js/NestJS),[],[],{},0
65870,Full Stack Developer,[],[],{},0
100624,PHP Web Developer,[],[],{},0
1723215,Remote Senior Back-End Software Developer,"[""Ανάλυση και αξιολόγηση ροών εργασίας"", ""Οργάνωση και διαχείριση ροών εργασίας"", ""Παρακολούθηση και έλεγχος ροών εργασίας"", ""Τεκμηρίωση και βελτίωση ροών εργασίας"", ""Συντονισμός και προτεραιοποίηση ροών εργασίας""]","[""Προσωπική Διαχείριση""]","{""Ανάλυση και αξιολόγηση ροών εργασίας"": {""score"": 2, ""keywords"": [""workflow management""], ""semantic_groups"": []}, ""Οργάνωση και διαχείριση ροών εργασίας"": {""score"": 2, ""keywords"": [""workflow management""], ""semantic_groups"": []}, ""Παρακολούθηση και έλεγχος ροών εργασίας"": {""score"": 2, ""keywords"": [""workflow management""], ""semantic_groups"": []}, ""Τεκμηρίωση και βελτίωση ροών εργασίας"": {""score"": 2, ""keywords"": [""workflow management""], ""semantic_groups"": []}, ""Συντονισμός και προτεραιοποίηση ροών εργασίας"": {""score"": 2, ""keywords"": [""workflow management""], ""semantic_groups"": []}}",5
1727035,Senior Python Developer,"[""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""maintain + database""]}}",1
1727082,Web Developer (.NET),"[""Διαχείριση χρόνου"", ""Σαφής και συνοπτική επικοινωνία""]","[""Προσωπική Διαχείριση"", ""Επαγγελματική Επικοινωνία""]","{""Διαχείριση χρόνου"": {""score"": 5, ""keywords"": [""time management"", ""meet deadlin""], ""semantic_groups"": [""meet + deadlin""]}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + client""]}}",2
1727227,Python Developer,"[""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""maintain + database""]}}",1
1766983,React Developer,"[""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση"", ""Διαχείριση χρόνου""]","[""Επαγγελματική Επικοινωνία"", ""Προσωπική Διαχείριση""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + client""]}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}, ""Διαχείριση χρόνου"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""meet + deadlin""]}}",3
1842461,Frontend Engineer (Angular) Mid-Senior,"[""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",1
1842464,Frontend Engineer (Angular) Mid-Senior,"[""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",1
1842465,Frontend Engineer (Angular) Mid-Senior,"[""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",1
1842944,Python Engineer | Strategy Risk & Transactions Advisory,"[""Σαφής και συνοπτική επικοινωνία"", ""Αποτελεσματική χρήση GPT"", ""Διαχείριση προσοχής και συγκέντρωσης"", ""Ενεργητική ακρόαση"", ""Αυτοματοποίηση επαναλαμβανόμενων εργασιών""]","[""Επαγγελματική Επικοινωνία"", ""Ψηφιακή Παραγωγικότητα και ΤΝ"", ""Προσωπική Διαχείριση""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [], ""semantic_groups"": [""communication + client"", ""communication + customer"", ""communication + stakeholder""]}, ""Αποτελεσματική χρήση GPT"": {""score"": 2, ""keywords"": [""large language model""], ""semantic_groups"": []}, ""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 2, ""keywords"": [""detail orient""], ""semantic_groups"": []}, ""Ενεργητική ακρόαση"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""understand + need"", ""identify + need""]}, ""Αυτοματοποίηση επαναλαμβανόμενων εργασιών"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""streamline + process""]}}",5
1843193,Backend Developer / Integration Specialist,[],[],{},0
1843195,Full Stack Web Developer,[],[],{},0
1844013,PHP Software Developer,"[""Σαφής και συνοπτική επικοινωνία"", ""Διαχείριση προσοχής και συγκέντρωσης"", ""Σύνταξη επαγγελματικών email"", ""Διαχείριση χρόνου"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία"", ""Προσωπική Διαχείριση"", ""Ψηφιακή Παραγωγικότητα και ΤΝ""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 6, ""keywords"": [""verbal written communication"", ""written communication""], ""semantic_groups"": [""communication + client"", ""communication + customer""]}, ""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}, ""Σύνταξη επαγγελματικών email"": {""score"": 2, ""keywords"": [""written communication""], ""semantic_groups"": []}, ""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""time management""], ""semantic_groups"": []}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",5
1861912,Experienced Full Stack Developer,"[""Διαχείριση χρόνου""]","[""Προσωπική Διαχείριση""]","{""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""fast pac environment""], ""semantic_groups"": []}}",1
1906680,Back-End Software Developer,"[""Σαφής και συνοπτική επικοινωνία"", ""Διαχείριση προσοχής και συγκέντρωσης"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία"", ""Προσωπική Διαχείριση""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 4, ""keywords"": [""written verbal communication"", ""verbal communication""], ""semantic_groups"": []}, ""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",3
1908636,Frontend Developer,"[""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""effective communication""], ""semantic_groups"": [""communication + customer""]}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",2
1909313,Developer/Cloud Engineer,"[""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 4, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + client"", ""communication + customer""]}, ""Ενεργητική ακρόαση"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""understand + need"", ""identify + need""]}}",2
1940303,Frontend developer / software engineer (JavaScript),[],[],{},0
1950671,Python Developer,"[""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 2, ""keywords"": [""excellent communication""], ""semantic_groups"": []}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",2
2082697,Python Developer,"[""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 2, ""keywords"": [""excellent communication""], ""semantic_groups"": []}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",2
2082698,Python Developer,"[""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 2, ""keywords"": [""excellent communication""], ""semantic_groups"": []}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",2
2082699,Python Developer,"[""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 2, ""keywords"": [""excellent communication""], ""semantic_groups"": []}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",2
2082742,React Developer,"[""Διαχείριση προσοχής και συγκέντρωσης"", ""Διαχείριση χρόνου""]","[""Προσωπική Διαχείριση""]","{""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}, ""Διαχείριση χρόνου"": {""score"": 3, ""keywords"": [""meet deadlin""], ""semantic_groups"": [""meet + deadlin""]}}",2
2082842,Android Developer,"[""Διαχείριση προσοχής και συγκέντρωσης"", ""Τεκμηρίωση και βελτίωση αναγκών και απαιτήσεων χρηστών"", ""Σαφής και συνοπτική επικοινωνία""]","[""Προσωπική Διαχείριση"", ""Διοικητική Υποστήριξη"", ""Επαγγελματική Επικοινωνία""]","{""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}, ""Τεκμηρίωση και βελτίωση αναγκών και απαιτήσεων χρηστών"": {""score"": 2, ""keywords"": [""improv user""], ""semantic_groups"": []}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + client""]}}",3
2082846,Cloud Backend Developer,"[""Σαφής και συνοπτική επικοινωνία"", ""Διαχείριση προσοχής και συγκέντρωσης""]","[""Επαγγελματική Επικοινωνία"", ""Προσωπική Διαχείριση""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + client""]}, ""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}}",2
2773748,Python Developer - Automation (m/f/d),[],[],{},0
2773750,.NET Developer (m/f/d),"[""Αυτοματοποίηση επαναλαμβανόμενων εργασιών""]","[""Ψηφιακή Παραγωγικότητα και ΤΝ""]","{""Αυτοματοποίηση επαναλαμβανόμενων εργασιών"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""automate + process""]}}",1
2774412,Android Developer,"[""Διαχείριση προσοχής και συγκέντρωσης"", ""Τεκμηρίωση και βελτίωση αναγκών και απαιτήσεων χρηστών"", ""Σαφής και συνοπτική επικοινωνία""]","[""Προσωπική Διαχείριση"", ""Διοικητική Υποστήριξη"", ""Επαγγελματική Επικοινωνία""]","{""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}, ""Τεκμηρίωση και βελτίωση αναγκών και απαιτήσεων χρηστών"": {""score"": 2, ""keywords"": [""improv user""], ""semantic_groups"": []}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + client""]}}",3
2774415,Cloud Backend Developer,"[""Σαφής και συνοπτική επικοινωνία"", ""Διαχείριση προσοχής και συγκέντρωσης""]","[""Επαγγελματική Επικοινωνία"", ""Προσωπική Διαχείριση""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + client""]}, ""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}}",2
